school_name,finalgrades,total_students,latitude,longitude,NTA
Baruch College Campus High School,9 to 12,475,40.74193,-73.986521,Hudson Yards-Chelsea-Flatiron-Union Square
Wings Academy,9 to 12,463,40.841794,-73.875366,East Tremont
West Bronx Academy for the Future,6 to 12,609,40.860043,-73.888267,Belmont
"Celia Cruz Bronx High School of Music, The",9 to 12,421,40.870293,-73.898309,Van Cortlandt Village
Brooklyn College Academy,9 to 12,660,40.649404,-73.971736,Windsor Terrace
Queens Collegiate: A College Board School,6 to 12,669,40.713218,-73.797237,Briarwood-Jamaica Hills
Bronx Career and College Preparatory High School,9 to 12,268,40.827743,-73.900105,Longwood
Brooklyn High School of the Arts,9 to 12,939,40.683559,-73.98027,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Gregorio Luperon High School for Science and Mathematics,9 to 12,521,40.838167,-73.938642,Washington Heights South
Williamsburg High School for Architecture and Design,9 to 12,580,40.715073,-73.954754,North Side-South Side
Bronx Studio School for Writers and Artists,6 to 12,645,40.820579,-73.893128,Hunts Point
East-West School of International Studies,6 to 12,649,40.749545,-73.822073,Flushing
Park East High School,9 to 12,389,40.790543,-73.944356,East Harlem South
Robert F. Kennedy Community High School,9 to 12,702,40.725603,-73.810697,Kew Gardens Hills
Dreamyard Preparatory School,9 to 12,271,40.840422,-73.91091,East Concourse-Concourse Village
"Mathematics, Science Research and Technology Magnet High School",9 to 12,407,40.697819,-73.745728,Cambria Heights
Victory Collegiate High School,9 to 12,341,40.633285,-73.916735,Canarsie
Urban Assembly New York Harbor School,9 to 12,533,40.701695,-74.011631,Battery Park City-Lower Manhattan
Brooklyn Technical High School,9 to 12,5937,40.688834,-73.976905,Fort Greene
Multicultural High School,9 to 12,267,40.691146,-73.868328,park-cemetery-etc-Brooklyn
Gotham Collaborative High School,9 to 12,532,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
Eagle Academy for Young Men III,6 to 12,497,40.691712,-73.778923,St. Albans
The Urban Assembly School for Global Commerce,9 to 12,250,40.807383,-73.939433,Central Harlem North-Polo Grounds
Longwood Preparatory Academy,9 to 12,342,40.817512,-73.898212,Longwood
Gaynor McCown Expeditionary Learning School,9 to 12,434,40.581315,-74.158589,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
Bronx Leadership Academy II High School,9 to 12,511,40.82231,-73.923829,East Concourse-Concourse Village
El Puente Academy for Peace and Justice,9 to 12,224,40.705898,-73.955611,Williamsburg
University Neighborhood High School,9 to 12,483,40.712399,-73.984497,Lower East Side
The School for Human Rights,9 to 12,352,40.658893,-73.942458,Prospect Lefferts Gardens-Wingate
John Dewey High School,9 to 12,2203,40.589268,-73.981738000000007,Gravesend
Frank McCourt High School,9 to 12,413,40.785803,-73.974614,Upper West Side
Explorations Academy H.S.,9 to 12,326,40.8359,-73.890458,Crotona Park East
Rachel Carson High School for Coastal Studies,9 to 12,623,40.582533,-73.973132,West Brighton
World Academy for Total Community Health High School (WATCH),9 to 12,250,40.667456,-73.894747,East New York (Pennsylvania Ave)
The Williamsburg High School of Art and Technology,9 to 12,302,40.709941,-73.943641,East Williamsburg
47 The American Sign Language and English Secondary School,9 to 12,196,40.738548,-73.982455,Gramercy
Cyberarts Studio Academy,9 to 12,268,40.669629,-73.979287,Park Slope-Gowanus
Academy for Software Engineering (AFSE),9 to 12,459,40.735494,-73.987659,Gramercy
Forest Hills High School,9 to 12,3806,40.729402,-73.845637,Forest Hills
Brooklyn Academy of Science and the Environment (BASE),9 to 12,382,40.670349,-73.961695,Crown Heights South
Central Park East High School,9 to 12,508,40.793763,-73.949381,East Harlem South
Pelham Preparatory Academy,9 to 12,511,40.859665,-73.861006,Bronxdale
Hillcrest High School,9 to 12,3300,40.709446,-73.80166,Briarwood-Jamaica Hills
"Science Skills Center High School for Science, Technology and the Creative Arts",9 to 12,571,40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Scholars' Academy,6 to 12,1351,40.584109,-73.825711,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
High School for Media and Communications,9 to 12,396,40.855855,-73.92712,Washington Heights North
Bard High School Early College Queens,9 to 12,643,40.745095,-73.936635,Hunters Point-Sunnyside-West Maspeth
High School of Telecommunication Arts and Technology,9 to 12,1235,40.637282,-74.023849,Bay Ridge
Pathways in Technology Early College High School (P-TECH),9 to 14,581,40.675612,-73.938843,Crown Heights North
World Journalism Preparatory: A College Board School,6 to 12,582,40.765133,-73.790083,Auburndale
Professional Performing Arts High School (PPAS),6 to 12,558,40.761448,-73.988019,Clinton
Leadership and Public Service High School,9 to 12,473,40.70873,-74.012332,Battery Park City-Lower Manhattan
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),6 to 12,1513,40.888338,-73.913486,North Riverdale-Fieldston-Riverdale
George Washington Carver High School for the Sciences,9 to 12,417,40.668235,-73.756839,Springfield Gardens North
Cypress Hills Collegiate Preparatory School,9 to 12,302,40.691146,-73.868328,park-cemetery-etc-Brooklyn
The Urban Assembly School for Media Studies,9 to 12,407,40.774351,-73.984753,Lincoln Square
The Academy of Urban Planning and Engineering,9 to 12,231,40.697185,-73.91117,Bushwick North
Collegiate Institute for Math and Science (CIMS),9 to 12,607,40.859665,-73.861006,Bronxdale
Academy of American Studies,9 to 12,1007,40.751331,-73.937434,Queensbridge-Ravenswood-Long Island City
Academy for Health Careers,9 to 12,301,40.675612,-73.938843,Crown Heights North
Gramercy Arts High School,9 to 12,468,40.735494,-73.987659,Gramercy
Bronx Collegiate Academy,9 to 12,388,40.840422,-73.91091,East Concourse-Concourse Village
