school_name,finalgrades,total_students,latitude,longitude,NTA
High School of Applied Communication,9 to 12,407,40.745095,-73.936635,Hunters Point-Sunnyside-West Maspeth
The Urban Assembly School of Design and Construction,9 to 12,302,40.76525,-73.993105,Clinton
August Martin High School,9 to 12,311,40.675633,-73.783342,Springfield Gardens North
Bronx River High School,9 to 12,425,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
International High School at LaGuardia Community College,9 to 12,507,40.744412,-73.93364,Hunters Point-Sunnyside-West Maspeth
"Queens High School of Teaching, Liberal Arts and the Sciences",9 to 12,1070,40.746088,-73.727535,Bellerose
School of the Future High School,6 to 12,749,40.738952,-73.985479,Gramercy
Grover Cleveland High School,9 to 12,1715,40.711033,-73.908814,Ridgewood
"Bronx School for Law, Government and Justice",6 to 12,751,40.827607,-73.918681,East Concourse-Concourse Village
Urban Assembly Maker Academy,9 to 12,390,40.711442,-74.000851,Chinatown
The Global Learning Collaborative,9 to 12,414,40.785803,-73.974614,Upper West Side
Fordham High School for the Arts,9 to 12,319,40.860043,-73.888267,Belmont
High School for Law Enforcement and Public Safety,9 to 12,462,40.686208,-73.784144,Baisley Park
Leaders High School,9 to 12,378,40.594291,-73.98577,Gravesend
Validus Preparatory Academy,9 to 12,361,40.839244,-73.901316,Claremont-Bathgate
Manhattan Village Academy,9 to 12,452,40.741497,-73.991512,Hudson Yards-Chelsea-Flatiron-Union Square
The Boerum Hill School for International Studies,6 to 12,723,40.685419,-73.993351,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Juan Morel Campos Secondary School,6 to 12,515,40.703624,-73.953146,Williamsburg
Washington Heights Expeditionary Learning School (WHEELS),K to 12,864,40.848908,-73.930948,Washington Heights North
Robert H. Goddard High School of Communication Arts and Technology,9 to 12,629,40.67124,-73.845141,Ozone Park
"Heritage School, The",9 to 12,313,40.791881,-73.946558,East Harlem South
Bronx Aerospace High School,9 to 12,322,40.875953,-73.86197,Williamsbridge-Olinville
Urban Assembly School for Music and Art,9 to 12,207,40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
High School for Health Careers and Sciences,9 to 12,423,40.855855,-73.92712,Washington Heights North
Epic High School - North,9 to 12,411,40.693006,-73.829407,Richmond Hill
James Madison High School,9 to 12,3797,40.609912,-73.948512,Madison
Murray Hill Academy,9 to 12,304,40.746176,-73.981241,Murray Hill-Kips Bay
Franklin Delano Roosevelt High School,9 to 12,3214,40.620446,-73.981795,Borough Park
High School for Environmental Studies,9 to 12,1146,40.767791,-73.987531,Clinton
Independence High School,"School is structured on credit needs, not grade level",319,40.768343,-73.989108,Clinton
The Brooklyn Academy of Global Finance,9 to 12,105,40.691274,-73.933697,Stuyvesant Heights
Claremont International High School,9 to 12,361,40.840422,-73.91091,East Concourse-Concourse Village
Flushing High School,9 to 12,1595,40.765166,-73.82789,Flushing
Pathways College Preparatory School: A College Board School,6 to 12,588,40.70646,-73.753579,Hollis
High School of American Studies at Lehman College,9 to 12,411,40.873938,-73.895382,Van Cortlandt Village
Harvest Collegiate High School,9 to 12,457,40.736518,-73.994858,West Village
Hostos-Lincoln Academy of Science,6 to 12,547,40.815498,-73.91224,Melrose South-Mott Haven North
Academy for Careers in Television and Film (ACTV),9 to 12 - This school is expanding to serve grades 9 to 14 in the 2023-2024 school year.,562,40.742956,-73.959196,Hunters Point-Sunnyside-West Maspeth
In-Tech Academy (M.S. / High School 368),6 to 12,1022,40.879368,-73.909896,Spuyten Duyvil-Kingsbridge
The Urban Assembly School for Applied Math and Science,6 to 12,606,40.839244,-73.901316,Claremont-Bathgate
Ralph R. McKee Career and Technical Education High School,9 to 12,795,40.642793,-74.07873,West New Brighton-New Brighton-St. George
Manhattan Business Academy,9 to 12,414,40.742867,-74.002136,Hudson Yards-Chelsea-Flatiron-Union Square
Stephen T. Mather Building Arts & Craftsmanship High School,9 to 12,401,40.76337,-73.9906,Clinton
Beacon High School,9 to 12,1423,40.761452,-73.995802,Clinton
High School for Civil Rights,9 to 12,239,40.667456,-73.894747,East New York (Pennsylvania Ave)
Alfred E. Smith Career and Technical Education High School,9 to 12,455,40.818232,-73.919867,Melrose South-Mott Haven North
High School for Community Leadership,9 to 12,464,40.713218,-73.797237,Briarwood-Jamaica Hills
East Williamsburg Scholars Academy,9 to 12,304,40.712184,-73.939722,Bushwick South
Brooklyn Collaborative Studies,6 to 12,684,40.68007,-74.001377,Carroll Gardens-Columbia Street-Red Hook
Bronx Latin,6 to 12,580,40.827743,-73.900105,Longwood
Medgar Evers College Preparatory School,6 to 12,1332,40.667195,-73.951167,Crown Heights South
Queens Gateway to Health Sciences Secondary School,6 to 12,711,40.718831,-73.806499,Pomonok-Flushing Heights-Hillcrest
"Queens School of Inquiry, The",6 to 12,588,40.724458,-73.810216,Kew Gardens Hills
Esperanza Preparatory Academy,6 to 12,569,40.79307,-73.942303,East Harlem South
High School of World Cultures,9 to 12,459,40.831601,-73.878912,West Farms-Bronx River
East New York Family Academy,6 to 12,496,40.674135,-73.89643,East New York (Pennsylvania Ave)
School for Excellence,9 to 12,326,40.827642,-73.904473,Morrisania-Melrose
The Urban Assembly School for Collaborative Healthcare,9 to 12,338,40.691146,-73.868328,park-cemetery-etc-Brooklyn
William E. Grady Career and Technical Education High School,9 to 12,412,40.582585,-73.963477,Brighton Beach
CSI High School for International Studies,9 to 12,496,40.581315,-74.158589,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
High School for Health Professions and Human Services,9 to 12,1825,40.732447,-73.983031,Gramercy
International School for Liberal Arts,6 to 12,518,40.870293,-73.898309,Van Cortlandt Village
Academy of Hospitality and Tourism,9 to 12,196,40.649787,-73.95855,Erasmus
Comprehensive Model School Project M.S. 327,6 to 12,735,40.842495,-73.916082,West Concourse
N.Y.C. Lab School for Collaborative Studies,9 to 12,471,40.742129,-74.002198,Hudson Yards-Chelsea-Flatiron-Union Square
Murry Bergtraum High School for Business Careers,9 to 12,182,40.711442,-74.000851,Chinatown
Information Technology High School,9 to 12,1011,40.748701,-73.94638,Hunters Point-Sunnyside-West Maspeth
Academy for Scholarship and Entrepreneurship: A College Board School,9 to 12,368,40.887831,-73.852694,Williamsbridge-Olinville
Bronx Theatre High School,9 to 12,347,40.877105,-73.912256,Marble Hill-Inwood
Lower Manhattan Arts Academy,9 to 12,290,40.717349,-73.989596,Chinatown
EBC High School for Public Service - Bushwick,9 to 12,479,40.694507,-73.929107,Bushwick South
Clara Barton High School,9 to 12,1200,40.669567,-73.961962,Crown Heights South
"High School for Construction Trades, Engineering and Architecture",9 to 12,1066,40.689591,-73.840717,Richmond Hill
Urban Assembly School for Criminal Justice,6 to 12,549,40.634875,-73.981528,Borough Park
The Cinema School,9 to 12,317,40.831416,-73.877785,West Farms-Bronx River
Eagle Academy for Young Men II,6 to 12,651,40.677805,-73.915843,Ocean Hill
South Bronx Preparatory: A College Board School,6 to 12,657,40.813983,-73.920782,Mott Haven-Port Morris
Williamsburg Preparatory School,9 to 12,682,40.715073,-73.954754,North Side-South Side
Young Women's Leadership School of Brooklyn (TYWLS),6 to 12,382,40.705204,-73.939407,Bushwick South
"New Explorations into Science, Technology and Math High School (NEST+m)",K to 12,1754,40.718895,-73.979308,Lower East Side
Transit Tech Career and Technical Education High School,9 to 12,676,40.678276,-73.87596,East New York
Schuylerville Preparatory High School,9 to 12,360,40.840702,-73.838545,Schuylerville-Throgs Neck-Edgewater Park
Bronx Compass High School,9 to 12,381,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
Maspeth High School,9 to 12,1212,40.729939,-73.887482,Maspeth
"Science, Technology and Research Early College High School at Erasmus (STAR)",6 to 12,576,40.649787,-73.95855,Erasmus
"Young Women's Leadership School, Astoria (TYWLS)",6 to 12,586,40.771215,-73.924591,Old Astoria
Bayside High School,9 to 12,2850,40.771755,-73.780296,Bayside-Bayside Hills
Manhattan / Hunter Science High School,9 to 12,441,40.774351,-73.984753,Lincoln Square
Bronx High School for the Visual Arts,9 to 12,461,40.851405,-73.865036,Pelham Parkway
The Brooklyn Latin School,9 to 12,698,40.709941,-73.943641,East Williamsburg
Thurgood Marshall Academy for Learning and Social Change,6 to 12,560,40.815449,-73.944061,Central Harlem North-Polo Grounds
High School for Medical Professions,9 to 12,460,40.641474,-73.898254,Canarsie
Curtis High School,9 to 12,2586,40.644735,-74.081222,West New Brighton-New Brighton-St. George
Cambria Heights Academy,9 to 12,370,40.711849,-73.771195,Jamaica
Civic Leadership Academy,9 to 12,593,40.74373,-73.870642,Elmhurst
Bronx Bridges High School,9 to 12,329,40.82229,-73.856167,Soundview-Castle Hill-Clason Point-Harding Park
High School of Economics and Finance,9 to 12,741,40.709196,-74.012022,Battery Park City-Lower Manhattan
Pace High School,9 to 12,572,40.716553,-73.993092,Chinatown
"The Marie Curie School for Medicine, Nursing, and Health Professions",9 to 12,430,40.875916,-73.90111,Van Cortlandt Village
The Bronxwood Preparatory Academy,9 to 12,360,40.887831,-73.852694,Williamsbridge-Olinville
West End Secondary School,6 to 11 - This school is expanding to serve grades 6 to 12.,432,40.772007,-73.987479,Lincoln Square
Richard R. Green High School of Teaching,9 to 12,429,40.705024,-74.012977,Battery Park City-Lower Manhattan
DeWitt Clinton High School,9 to 12,1119,40.882178,-73.88691,Van Cortlandt Village
Brooklyn Community High School for Excellence and Equity,9 to 12,189,40.633285,-73.916735,Canarsie
Rockaway Collegiate High School,9 to 12,306,40.586066,-73.822624,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
Mott Hall High School,9 to 12,288,40.817372,-73.947712,Central Harlem North-Polo Grounds
Community School for Social Justice,9 to 12,327,40.815938,-73.930386,West Concourse
Sunset Park High School,9 to 12,1216,40.65571,-74.005197,Sunset Park West
Bedford Academy High School,9 to 12,363,40.68538,-73.954302,Bedford
Origins High School,9 to 12,414,40.594124,-73.937696,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
Middle College High School at LaGuardia Community College,9 to 12,508,40.744412,-73.93364,Hunters Point-Sunnyside-West Maspeth
Women's Academy of Excellence,9 to 12,248,40.814833,-73.85658,Soundview-Castle Hill-Clason Point-Harding Park
Business Technology Early College High School (BTECH),9 to 14,519,40.733066,-73.738756,Bellerose
Manhattan Center for Science and Mathematics,9 to 12,1650,40.793856,-73.934028,East Harlem North
Abraham Lincoln High School,9 to 12,1904,40.581681,-73.967308,West Brighton
Brooklyn International High School,9 to 12,359,40.697339,-73.985016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Academy of Medical Technology: A College Board School,6 to 12,626,40.60201,-73.762795,Far Rockaway-Bayswater
High School for Excellence and Innovation,9 to 12,182,40.866053,-73.924835,Marble Hill-Inwood
